type_id, file_size
18,72521
20,71887
21,58687
22,60869
34,73201
35,74033
36,73562
37,73639
38,73700
39,74224
40,74320
41,68689
42,67786
43,72037
44,72871
45,59778
178,69554
179,69474
180,69361
181,70546
182,70158
183,71228
184,71267
185,71731
186,69639
187,69884
188,69753
189,70162
190,70137
191,70845
192,70805
193,71058
194,69151
195,69413
196,69192
197,70233
198,70863
199,72067
200,71947
201,71930
202,71401
203,71573
204,71348
205,71453
206,70273
207,70360
208,70256
209,70617
210,70281
211,70048
212,70130
213,70019
215,69039
216,69024
217,69241
218,69200
219,69193
220,69378
221,69253
222,70783
223,69987
224,69319
225,69602
226,69822
227,69806
228,69437
229,69075
230,70375
231,69214
232,68846
233,69326
234,68607
235,69564
236,69360
237,69082
238,71353
239,69557
240,69472
241,69189
242,69571
243,68712
244,69463
245,69705
246,70796
247,70272
248,69636
249,68702
250,70332
251,69686
252,70420
253,69748
254,70993
255,70078
256,69316
257,69310
258,70465
259,68641
260,70434
261,70510
262,71473
263,70019
264,69831
265,69724
266,69170
267,70667
269,68684
377,71176
380,72676
393,65373
394,72086
399,71025
400,72555
434,71724
438,74297
439,72111
440,73934
442,70236
443,54579
444,70378
447,70963
448,74550
450,55268
451,59272
452,64605
453,48800
454,45618
455,44865
456,43332
459,41157
482,72648
483,70545
484,70894
485,70923
486,71698
487,71012
488,71245
489,55088
490,65374
491,70336
492,64280
493,65136
499,71157
501,68240
503,41810
519,73950
520,71478
523,70771
524,65590
526,71180
527,73056
529,44659
530,66105
533,65886
561,61978
562,62751
563,61044
564,68751
565,68316
566,45430
568,43889
570,54495
577,57959
578,72591
580,41487
581,48959
582,56500
583,71930
584,68361
585,72550
586,72399
587,73015
588,69793
589,71217
590,55730
591,68017
592,61956
593,72552
594,71834
596,55677
597,70958
598,72207
599,72553
601,65828
602,72052
603,71656
605,71813
606,65106
607,71686
608,71962
609,63645
620,61452
621,74583
622,74614
623,70860
624,70610
625,62508
626,74749
627,73400
628,69665
629,74639
630,70454
631,71597
632,66723
633,47071
634,69280
638,71783
639,69613
640,42829
641,66950
642,46521
643,63791
644,73178
645,74352
648,65816
649,72106
650,71303
651,70504
652,73696
653,72417
654,70942
655,71656
656,72710
657,73250
672,71100
689,57017
690,57999
691,67884
692,44978
803,44731
804,47878
805,43158
806,42456
807,48508
808,50260
809,48526
810,53862
811,55850
813,58427
814,61551
819,52367
820,42383
821,54264
822,42281
823,51291
826,41617
828,42687
879,68759
880,56280
881,61149
882,56582
883,63362
884,65583
885,61201
886,69768
887,48837
888,51271
889,45372
890,55056
891,56391
892,58340
893,59357
894,65132
895,43871
896,47317
897,42642
898,48864
899,51804
900,60539
901,56501
902,63070
945,54432
946,47053
974,48529
975,43189
976,52994
1072,46927
1076,45591
1096,45197
1182,68961
1183,72720
1185,65837
1195,71256
1201,71455
1202,64915
1223,48638
1224,68568
1225,47206
1226,65910
1227,71082
1228,73199
1230,73225
1231,62880
1236,72878
1244,71101
1246,50911
1248,72497
1256,61379
1266,70046
1276,59893
1286,58923
1296,55930
1304,69175
1306,72740
1317,70312
1319,73988
1335,72406
1353,69227
1355,72412
1403,70591
1405,73377
1422,72774
1436,66136
1445,69526
1447,72854
1539,70479
1541,72813
1808,70486
1810,69063
1814,68890
1816,68849
1818,69963
1820,68824
1822,68680
1824,68610
1826,68749
1828,68146
1830,67507
1832,67837
1855,65396
1875,69643
1877,73291
1944,70435
1952,73194
1957,44598
1964,66260
1968,47802
1969,63292
1973,69778
1977,71385
1978,72966
1986,49273
1987,71789
1998,70376
1999,73052
2006,68721
2018,57121
2024,72924
2032,73564
2038,72229
2046,71104
2047,45968
2048,74273
2050,57318
2082,71729
2104,44590
2108,56046
2109,64652
2117,61337
2161,62118
2173,71263
2175,72811
2183,71960
2185,73377
2193,71447
2195,69847
2203,70865
2204,47265
2205,73516
2254,69811
2267,48384
2268,44148
2270,42817
2272,48361
2281,75402
2289,65808
2291,64911
2293,69604
2295,68465
2297,73473
2299,73413
2301,73764
2303,73687
2317,45137
2319,54322
2328,56139
2329,50396
2331,70602
2333,72402
2341,56947
2348,41452
2351,46828
2352,41524
2355,42940
2363,62267
2364,72951
2389,65505
2390,66746
2392,47200
2393,65623
2395,53293
2396,64524
2397,47436
2398,70717
2399,68788
2400,69986
2401,64294
2403,71326
2404,72963
2406,72330
2410,73428
2420,73337
2436,62750
2444,71777
2446,74046
2454,72004
2455,50919
2456,74628
2463,65384
2464,70714
2466,72830
2476,71651
2478,73294
2486,71215
2487,58425
2488,74258
2495,71696
2505,71713
2506,70743
2508,70617
2510,70791
2512,69621
2514,69150
2516,69104
2524,71531
2525,68575
2529,67109
2531,71203
2533,69403
2534,70990
2537,68482
2539,72627
2545,58108
2547,71644
2549,70601
2550,70093
2551,69945
2553,72848
2559,63277
2563,63430
2567,70933
2571,63610
2575,65023
2589,71967
2603,70604
2605,73979
2613,70287
2621,67892
2629,71669
2637,52101
2647,56154
2655,60667
2679,70983
2801,45718
2811,52802
2817,70527
2865,54241
2867,64308
2869,50567
2870,66654
2871,58595
2872,61049
2873,72420
2875,51194
2876,69964
2881,72899
2889,73252
2897,73626
2905,72522
2913,73898
2921,72262
2929,73544
2937,71754
2953,43586
2961,72314
2969,73152
2977,73098
2993,67986
2998,73268
3001,71832
3009,48886
3017,58517
3025,64965
3033,72236
3041,72475
3057,68052
3065,55932
3074,72373
3082,72218
3090,62786
3098,71090
3106,60652
3130,72663
3138,72562
3146,73391
3162,71362
3170,72640
3178,73251
3184,72328
3186,70230
3242,70653
3244,74765
3256,56560
3265,65187
3293,56345
3296,64026
3297,68812
3300,48127
3301,70800
3302,69913
3303,70549
3304,71288
3305,72013
3306,71196
3307,71027
3308,72278
3309,70564
3310,69539
3311,69406
3312,69001
3315,72310
3316,69573
3317,70882
3318,70221
3319,70091
3320,70807
3321,70761
3322,70241
3323,68546
3324,71868
3325,71071
3326,70636
3328,71018
3329,70172
3330,70794
3331,70954
3332,72024
3333,72267
3334,71734
3335,71413
3336,72525
3337,72583
3338,72016
3339,70486
3340,71757
3341,71501
3342,69987
3343,70357
3348,70949
3349,68411
3350,69237
3351,65360
3352,62600
3354,70430
3355,71015
3356,70570
3357,71112
3358,68508
3359,71861
3361,68519
3363,70395
3368,56757
3373,65052
3380,69674
3385,70555
3386,57276
3387,70707
3388,70721
3389,71217
3392,56833
3393,69086
3394,69406
3395,69032
3396,64018
3397,59947
3398,43833
3402,46946
3403,70395
3405,69824
3406,70769
3408,41513
3409,70641
3410,72205
3411,69677
3412,67184
3413,51393
3416,69863
3417,69922
3418,70666
3419,70323
3420,71447
3421,71093
3422,70327
3423,71150
3424,70473
3425,70048
3426,58728
3427,71199
3428,70120
3429,70909
3430,70683
3431,70006
3432,70685
3433,71564
3434,70600
3435,69866
3436,69857
3437,69509
3438,70913
3439,70848
3440,71844
3441,71583
3442,71911
3443,69853
3444,71038
3446,71301
3447,56956
3449,42985
3450,69668
3451,70876
3452,70011
3453,69745
3454,71398
3455,70354
3456,72355
3467,68091
3488,70160
3496,71145
3504,68932
3512,72447
3520,73400
3528,70410
3530,73273
3538,55839
3540,73035
3551,69112
3552,63697
3554,70798
3566,67871
3568,72695
3578,73200
3581,58913
3588,46222
3598,55247
3608,63491
3643,68970
3645,71407
3647,71873
3651,68073
3653,61432
3655,43283
3673,57329
3683,71669
3685,57201
3687,71873
3689,72529
3691,55528
3693,49058
3699,69137
3705,42528
3709,43222
3713,71976
3715,70230
3717,67085
3719,62838
3723,48487
3725,46241
3756,73392
3766,67614
3767,48684
3777,68923
3779,53125
3810,69314
3812,69813
3814,67366
3828,71698
3829,71624
3830,48480
3831,73354
3839,71463
3841,73885
3887,70898
3888,72667
3893,41667
3894,47242
3895,72522
3898,66965
3962,47355
4025,73815
4027,73950
4051,70787
4246,74138
4247,73391
4250,73459
4254,72484
4258,72879
4260,70826
4262,47398
4264,53082
4266,47493
4274,55066
4276,66547
4278,66119
4280,50048
4282,48028
4284,61429
4286,50859
4288,54376
4290,53648
4302,63056
4306,52948
4308,63764
4310,72426
4312,68749
4316,45952
4345,42998
4349,66154
4358,65227
4383,73725
4385,72845
4391,71559
4393,71577
4395,71776
4397,66493
4399,64785
4403,72560
4405,74026
4409,53971
4411,69884
4435,71083
4471,72067
4477,70731
4529,70063
4531,68677
4533,71050
4535,68830
4569,70905
4571,69050
4573,71636
4575,67512
4609,69997
4611,70899
4613,70714
4615,70843
4787,70175
4829,66276
4831,69417
4833,72063
4835,68926
4871,69993
5007,68497
5009,68862
5011,72611
5013,67757
5047,70901
5049,71049
5051,71397
5053,70759
5087,66283
5089,69906
5091,66357
5093,69629
5137,70693
5141,70369
5175,55487
5177,63688
5179,64005
5181,51321
5215,66509
5217,65192
5219,68427
5221,66762
5239,70533
5245,70387
5279,69885
5281,65348
5282,67148
5299,71400
5301,70096
5302,73327
5319,70108
5320,72193
5321,69306
5322,70502
5339,67684
5340,66438
5342,65238
5361,68653
5363,68444
5365,68978
5399,71190
5403,72212
5405,70626
5439,72914
5443,73425
5445,71045
5493,71429
5533,70707
5599,70625
5631,70553
5647,64262
5649,55627
5683,70446
5693,66153
5697,72339
5719,69359
5721,72361
5723,71711
5743,65220
5745,69846
5747,67042
5755,72367
5757,72425
5759,72473
5839,73831
5849,70153
5865,67792
5867,67000
5869,67382
5871,67743
5933,72030
5945,72895
5955,72796
5971,71907
5973,74038
5975,71186
6001,71993
6003,70955
6005,70449
6073,69920
6131,69298
6135,67953
6159,70623
6160,72520
6173,71467
6176,67926
6296,69399
6325,70894
6437,71259
6439,70003
6441,70034
6443,70006
6485,70126
6527,68728
6569,70008
6631,66050
6633,68199
6635,69714
6637,64438
6671,64153
6673,61315
6675,71034
6677,65486
6715,64904
6717,65763
6719,69496
6721,60765
6757,46277
6759,54679
6761,56701
6805,54521
6807,50864
6809,60313
6811,55766
6859,64054
6861,67890
6863,70586
6865,66543
6919,67575
6921,69765
6923,70429
6925,64811
6959,70517
6961,71011
6963,70993
6965,69448
6999,69489
7001,70151
7003,69479
7005,69317
7043,71979
7045,71733
7047,71659
7049,71874
7085,71262
7087,71613
7123,71844
7125,72428
7127,71694
7131,72312
7167,71340
7169,71538
7171,71500
7173,70823
7247,71172
7249,68081
7251,64575
7253,60315
7287,72076
7289,69222
7291,68647
7293,68334
7327,70043
7329,67669
7331,65156
7333,64804
7367,72562
7369,71193
7371,71195
7373,71202
7407,64884
7409,65665
7411,66957
7413,63473
7447,71818
7449,70246
7451,70410
7453,68560
7487,65784
7489,49123
7491,57968
7493,55122
7535,70998
7537,67509
7539,63892
7541,62944
7579,72355
7581,68914
7583,68370
7585,69552
7619,54904
7663,67337
7665,55440
7667,61290
7669,53836
7703,70407
7705,61762
7707,62423
7709,57318
7743,69670
7745,70452
7747,70962
7749,70833
7783,70971
7785,70526
7787,71671
7789,70377
7827,68923
7829,68814
7831,70390
7997,71838
8001,69457
8007,71249
8023,69942
8025,69151
8027,73838
8089,73315
8091,72604
8101,70978
8103,70305
8105,73965
8113,69828
8115,69032
8117,72891
8133,68959
8135,69399
8175,70255
8177,69896
8225,70921
8263,70775
8295,59475
8297,65717
8335,66977
8337,67507
8419,71023
8427,70854
8433,72738
8517,73916
8521,71707
8529,71757
8531,71250
8535,71267
8537,70853
8579,70521
8583,70162
8585,72270
8635,72259
8639,72382
8641,72304
8748,71165
8759,72371
8785,70943
8787,70689
8789,70926
8815,72087
8817,69761
8819,70409
8821,70120
8863,72829
8865,71126
8867,71997
8869,72249
8903,72442
8905,70671
8907,71033
8909,71423
9071,64015
9073,46667
9091,41272
9093,44908
9127,66446
9129,57382
9131,49533
9133,58144
9135,72588
9137,69497
9139,68180
9141,69159
9207,72401
9209,70549
9211,69948
9213,68662
9247,63129
9249,68154
9251,67084
9253,66414
9287,67432
9289,70228
9291,70197
9293,69728
9327,72076
9329,71882
9331,71304
9333,70772
9367,71587
9369,70297
9371,69980
9377,67507
9411,72774
9413,71347
9415,71314
9417,71773
9451,73011
9453,70043
9455,69869
9457,70720
9491,73350
9493,71607
9495,71337
9497,71215
9521,69836
9556,70055
9568,70729
9580,71286
9582,69255
9608,70241
9622,71496
9632,72839
9646,71418
9660,71512
9668,72575
9670,69056
9678,72160
9680,67583
9728,72514
9734,71540
9744,66738
9762,72178
9772,72476
9784,67450
9800,72316
9808,72402
9826,69642
9828,55636
9830,67000
9832,72719
9834,71446
9836,69281
9838,69559
9840,70037
9842,70707
9844,57534
9848,73106
9850,71332
9852,70658
9899,73974
9941,73960
9942,73962
9943,74033
9944,70527
9950,70861
9956,73790
9957,65229
10039,69615
10040,66759
10155,41701
10190,73525
10208,74960
10209,72315
10212,74996
10213,71509
10216,74979
10217,71546
10221,75017
10222,72479
10225,74607
10226,65713
10228,60474
10246,70994
10250,71527
10629,70618
10631,73329
10678,63422
10680,71977
10688,68060
10690,68921
10692,68347
10694,71483
10836,70298
10838,56724
10842,70959
10850,72728
10858,72539
10866,69880
10868,69891
10870,70109
10872,71200
10874,70506
10876,70651
10878,70317
10880,70925
10882,72092
10884,71919
10886,71921
10888,72106
10998,72143
11014,62322
11082,70001
11083,66020
11084,72025
11105,71625
11129,71200
11130,43054
11132,71424
11133,68237
11134,71311
11172,71987
11174,52613
11176,72910
11178,68490
11182,74348
11184,63637
11186,72192
11188,70015
11190,53080
11192,73209
11194,42716
11196,73081
11198,73753
11200,68797
11202,72631
11207,71784
11219,61593
11229,71748
11239,66574
11249,65599
11259,68149
11267,71708
11269,73513
11277,59855
11279,60239
11283,69527
11285,70934
11287,71157
11289,71655
11293,61281
11295,66628
11297,64581
11299,51085
11301,55592
11303,63870
11305,63005
11309,72663
11311,72192
11317,72508
11319,72538
11325,72742
11327,72516
11341,70693
11343,70384
11349,71612
11351,71379
11355,46108
11365,63275
11370,73941
11371,73647
11377,73017
11379,69494
11381,59125
11387,52684
11393,54901
11395,68757
11399,73556
11400,70586
11433,66334
11441,61931
11442,64164
11443,68979
11444,58601
11445,62575
11446,72860
11447,63690
11448,61599
11449,58302
11450,61731
11451,63381
11452,66806
11453,64016
11454,58121
11455,65230
11475,54313
11476,53457
11478,58659
11481,61788
11482,52506
11483,56863
11484,48592
11486,54167
11489,71611
11496,53593
11529,62920
11530,59434
11531,49368
11534,43969
11536,49628
11538,64617
11539,60230
11540,68138
11541,61295
11542,56741
11545,50275
11549,41049
11551,46124
11553,49626
11554,51192
11555,52702
11556,55744
11557,46967
11558,53892
11561,70326
11563,72910
11566,71659
11569,63116
11572,62427
11574,65265
11577,73876
11578,74271
11579,73453
11584,70346
11640,72856
11642,72583
11644,73336
11646,73672
11648,73519
11688,64947
11689,60622
11691,63099
11957,54782
11961,55952
11963,59719
11965,50094
11978,60192
11985,42735
11987,46213
11989,43795
11993,68105
11999,70991
12003,42512
12005,73034
12019,49506
12023,57216
12032,72906
12034,74131
12038,73159
12042,65470
12044,65708
12052,72182
12054,70131
12056,71293
12058,73941
12066,69072
12068,73266
12076,73634
12084,72323
12092,71950
12093,72703
12095,71999
12096,70708
12098,69672
12102,61784
12179,42556
12180,65300
12181,64000
12182,63721
12183,62508
12184,64478
12185,64602
12186,65314
12187,66290
12188,68802
12189,62855
12190,69042
12191,69233
12192,69136
12193,69523
12194,63551
12195,69587
12196,66829
12198,59613
12199,44553
12201,71645
12202,71759
12203,71137
12204,63195
12205,54441
12206,67860
12207,60248
12208,71855
12209,72095
12210,69796
12211,66494
12212,61334
12213,67643
12214,63458
12215,55058
12237,64720
12238,51412
12239,58159
12259,69396
12267,73330
12271,59031
12274,71130
12304,72399
12305,72058
12344,46929
12346,68103
12365,71728
12366,71661
12367,71480
12441,71090
12442,71764
12478,71780
12484,72471
12485,73433
12486,72672
12487,72306
12528,71997
12529,64875
12530,69842
12531,66789
12538,61447
12541,54824
12548,49615
12557,70814
12559,71423
12563,71788
12565,71881
12608,70432
12612,70855
12614,70526
12618,70275
12620,70011
12625,70650
12631,69843
12633,69565
12709,70035
12729,51962
12731,41486
12733,44659
12735,68422
12743,62741
12745,60904
12747,64414
12761,67193
12765,60727
12767,69236
12771,68639
12773,71708
12775,70717
12777,71555
12779,70693
12785,70238
12787,69339
12789,70813
12791,68913
12801,69635
12803,54490
12805,70293
12807,51194
12814,71950
12816,65853
12818,72066
12820,66993
12822,65543
12824,42297
12826,63764
12828,49831
13001,73532
13003,73373
13119,65449
13216,73026
13224,46931
13225,60596
13237,47356
13240,66830
13243,42147
13244,70118
13249,63693
13250,51156
13252,48498
13256,62540
13257,55626
13258,42531
13259,64927
13260,54444
13261,72287
13263,54405
13267,68519
13278,70714
13279,71817
13283,70357
13284,70578
13285,69396
13286,68958
13287,69879
13856,58938
13969,43297
13974,47037
13978,43203
14001,57563
14047,47833
14072,52920
14074,51818
14084,43359
14130,47689
14136,46398
14272,69120
14274,67316
14276,67959
14278,72250
14280,65250
14282,62872
14284,59596
14286,61925
14292,65695
14295,71791
14296,71962
14297,70594
14298,72266
